author,day,score
JohanLlopis,28,6
Booorjaaa,28,3
ArantxaGarcia14,28,3
carlagolet,28,6
albocassers,28,5
Parres96,28,4
Sales__Soler,28,4
Ximo_Montero,28,4
ArantxaGarcia14,27,5
JohanLlopis,27,3
Gemma_chiva,27,4
Ximo_Montero,27,4
Booorjaaa,27,5
carlagolet,27,3
albocassers,27,4
Sales__Soler,27,5
Parres96,27,5
albocassers,26,2
Gemma_chiva,26,5
carlagolet,26,6
ArantxaGarcia14,26,5
annavaalls,26,3
JohanLlopis,26,4
Parres96,26,5
Sales__Soler,26,5
Gemma_chiva,25,4
albocassers,25,6
Sales__Soler,25,5
JohanLlopis,25,4
carlagolet,25,4
